time="2021-03-10T13:01:04+01:00" level=info msg="Vipsthumbnail found in /usr/local/bin/vipsthumbnail"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type text"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type json"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type radio"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type checkbox"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type richtext"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type number"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type datetime"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type file"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type image"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type password"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type relation"
time="2021-03-10T13:01:04+01:00" level=info msg="Registering field type relationlist"
time="2021-03-10T13:01:04+01:00" level=fatal msg="Please set dmapp environment variable to run the application."
